fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,40,40,0.425,0.5555555555555555,0.5
1,tfidf,40,40,0.45,0.40578817733990147,0.0
1,llm,40,26,0.9230769230769231,0.9458333333333334,0.0
1,hybrid,40,26,0.9230769230769231,0.9458333333333334,0.0
2,rules,38,38,0.10526315789473684,0.18095238095238098,0.868421052631579
2,tfidf,38,38,0.4473684210526316,0.3610240334378266,0.21052631578947367
2,llm,38,16,0.5625,0.3571428571428571,0.3125
2,hybrid,38,16,0.5625,0.34380952380952384,0.25
3,rules,39,39,0.358974358974359,0.410615528262587,0.38461538461538464
3,tfidf,39,39,0.4358974358974359,0.41767676767676765,0.07692307692307693
3,llm,39,20,0.45,0.4885714285714286,0.05
3,hybrid,39,20,0.5,0.5242857142857142,0.0
4,rules,40,40,0.375,0.3650793650793651,0.475
4,tfidf,40,40,0.475,0.2381313131313131,0.0
5,rules,37,37,0.1891891891891892,0.31666666666666665,0.4864864864864865
5,tfidf,37,37,0.6216216216216216,0.3455725840783312,0.02702702702702703
5,llm,37,2,1.0,1.0,0.0
5,hybrid,37,2,1.0,1.0,0.0
